"cmplst_id","cmplst_act","cmplst_particular","cmplst_description","cmplst_long_description","cmplst_title","cmplst_start_date","cmplst_end_date","cmplst_action_date","cmplst_year","cmplst_compliance_key","cmplst_country","cmplst_type"
"250024","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-12-2025","2025","2500005","India","regulatory"
"250025","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-01-2026","2025","2500005","India","regulatory"
"250026","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-02-2026","2025","2500005","India","regulatory"
"250027","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-03-2026","2025","2500005","India","regulatory"
"250028","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-04-2025","2025","2500006","India","regulatory"
"250029","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-05-2025","2025","2500006","India","regulatory"
"250030","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-06-2025","2025","2500006","India","regulatory"
"250031","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-07-2025","2025","2500006","India","regulatory"
"250032","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-08-2025","2025","2500006","India","regulatory"
"250033","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-09-2025","2025","2500006","India","regulatory"
"250034","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-10-2025","2025","2500006","India","regulatory"
"250035","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-11-2025","2025","2500006","India","regulatory"
"250036","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-12-2025","2025","2500006","India","regulatory"
"250037","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-01-2026","2025","2500006","India","regulatory"
"250038","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-02-2026","2025","2500006","India","regulatory"
"250039","ESI ACT","THROUGH ESIC PORTAL","RETURN: DEPOSIT OF E.S.I.C. CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH ESIC AUTHORITIES",,,"01-04-2025","31-03-2026","15-03-2026","2025","2500006","India","regulatory"
"250040","CONTRACT LABOUR ACT","XXIV","RETURN:ANNUAL RETURN",,,"01-04-2025","31-03-2026","15-02-2026","2025","2500007","India","regulatory"
"250041","PAYMENT OF WAGES ACT","IV","RETURN:ANNUAL RETURN",,,"01-04-2025","31-03-2026","15-02-2026","2025","2500008","India","regulatory"
"250042","MINIMUM WAGES ACT","III RULE 21 (4A)","RETURN:ANNUAL RETURN",,,"01-04-2025","31-03-2026","01-02-2026","2025","2500009","India","regulatory"
"250043","PAYMENT OF BONUS ACT","D RULE 5","RETURN: ANNUAL RETURN-BONUS PAID TO THE EMPLOYEES FOR THE ACCOUNTING YEAR ENDING",,,"01-04-2025","31-03-2026","30-12-2025","2025","2500010","India","regulatory"
"250044","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-04-2025","2025","2500011","India","regulatory"
"250045","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-05-2025","2025","2500011","India","regulatory"
"250046","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-06-2025","2025","2500011","India","regulatory"
"250047","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-07-2025","2025","2500011","India","regulatory"
"250048","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-08-2025","2025","2500011","India","regulatory"
"250049","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-09-2025","2025","2500011","India","regulatory"
"250050","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-10-2025","2025","2500011","India","regulatory"
"250051","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-11-2025","2025","2500011","India","regulatory"
"250052","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-12-2025","2025","2500011","India","regulatory"
"250053","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-01-2026","2025","2500011","India","regulatory"
"250054","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-02-2026","2025","2500011","India","regulatory"
"250055","GST ACT","GSTR-1","RETURN: RETURN FOR OUTWARD SUPPLIES OF TAXABLE GOODS AND/OR SERVICES; APPLICABLE TO: TAXPAYERS WITH ANNUAL TURNOVER MORE THAN 1.5 CRORES",,,"01-04-2025","31-03-2026","10-03-2026","2025","2500011","India","regulatory"
"250056","GST ACT","GSTR-4","RETURN: RETURN FOR DETAILS OF INWARD AND OUTWARD SUPPLIES; APPLICABLE TO: DEALER OPTED FOR COMPOSITION SCHEME",,,"01-04-2025","31-03-2026","18-04-2025","2025","2500012","India","regulatory"
"250057","GST ACT","GSTR-4","RETURN: RETURN FOR DETAILS OF INWARD AND OUTWARD SUPPLIES; APPLICABLE TO: DEALER OPTED FOR COMPOSITION SCHEME",,,"01-04-2025","31-03-2026","18-07-2025","2025","2500012","India","regulatory"
"250058","GST ACT","GSTR-4","RETURN: RETURN FOR DETAILS OF INWARD AND OUTWARD SUPPLIES; APPLICABLE TO: DEALER OPTED FOR COMPOSITION SCHEME",,,"01-04-2025","31-03-2026","18-10-2025","2025","2500012","India","regulatory"
"250059","GST ACT","GSTR-4","RETURN: RETURN FOR DETAILS OF INWARD AND OUTWARD SUPPLIES; APPLICABLE TO: DEALER OPTED FOR COMPOSITION SCHEME",,,"01-04-2025","31-03-2026","18-01-2026","2025","2500012","India","regulatory"
"250060","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-04-2025","2025","2500013","India","regulatory"
"250061","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-05-2025","2025","2500013","India","regulatory"
"250062","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-06-2025","2025","2500013","India","regulatory"
"250063","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-07-2025","2025","2500013","India","regulatory"
"250064","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-08-2025","2025","2500013","India","regulatory"
"250065","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-09-2025","2025","2500013","India","regulatory"
"250066","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-10-2025","2025","2500013","India","regulatory"
"250067","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-11-2025","2025","2500013","India","regulatory"
"250068","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-12-2025","2025","2500013","India","regulatory"
"250069","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-01-2026","2025","2500013","India","regulatory"
"250070","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-02-2026","2025","2500013","India","regulatory"
"250071","GST ACT","GSTR-3B","RETURN: SUMMARY RETURN OF OUTWARD AND INWARD SUPPLIES ALONG WITH PAYMENT OF TAX; APPLICABLE TO: GST TAXPAYERS",,,"01-04-2025","31-03-2026","20-03-2026","2025","2500013","India","regulatory"
"250072","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-04-2025","2025","2500014","India","regulatory"
"250073","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-05-2025","2025","2500014","India","regulatory"
"250074","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-06-2025","2025","2500014","India","regulatory"
"250075","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-07-2025","2025","2500014","India","regulatory"
"250076","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-08-2025","2025","2500014","India","regulatory"
"250077","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-09-2025","2025","2500014","India","regulatory"
"250078","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-10-2025","2025","2500014","India","regulatory"
"250079","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-11-2025","2025","2500014","India","regulatory"
"250080","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-12-2025","2025","2500014","India","regulatory"
"250081","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-01-2026","2025","2500014","India","regulatory"
"250082","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-02-2026","2025","2500014","India","regulatory"
"250083","GST ACT","GSTR - 5 & 5A","RETURN: SUMMARY RETURN OF OUTWARD TAXABLE SUPPLIES AND TAX PAYABLE; APPLICABLE TO: NON-RESIDENT FOREIGN TAXABLE PERSON & OIDAR",,,"01-04-2025","31-03-2026","20-03-2026","2025","2500014","India","regulatory"
"250084","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-04-2025","2025","2500015","India","regulatory"
"250085","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-05-2025","2025","2500015","India","regulatory"
"250086","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-06-2025","2025","2500015","India","regulatory"
"250087","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-07-2025","2025","2500015","India","regulatory"
"250088","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-08-2025","2025","2500015","India","regulatory"
"250089","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-09-2025","2025","2500015","India","regulatory"
"250090","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-10-2025","2025","2500015","India","regulatory"
"250091","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-11-2025","2025","2500015","India","regulatory"
"250092","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-12-2025","2025","2500015","India","regulatory"
"250093","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-01-2026","2025","2500015","India","regulatory"
"250094","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-02-2026","2025","2500015","India","regulatory"
"250095","GST ACT","GSTR-6","RETURN: RETURN FOR DETAILS OF ITC RECEIVED AND DISTRIBUTION; APPLICABLE TO: INPUT SERVICE DISTRIBUTORS",,,"01-04-2025","31-03-2026","13-03-2026","2025","2500015","India","regulatory"
"250096","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-04-2025","2025","2500016","India","regulatory"
"250097","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-05-2025","2025","2500016","India","regulatory"
"250098","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-06-2025","2025","2500016","India","regulatory"
"250099","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-07-2025","2025","2500016","India","regulatory"
"250100","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-08-2025","2025","2500016","India","regulatory"
"250101","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-09-2025","2025","2500016","India","regulatory"
"250102","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-10-2025","2025","2500016","India","regulatory"
"250103","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-11-2025","2025","2500016","India","regulatory"
"250104","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-12-2025","2025","2500016","India","regulatory"
"250105","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-01-2026","2025","2500016","India","regulatory"
"250106","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-02-2026","2025","2500016","India","regulatory"
"250107","GST ACT","GSTR-7","RETURN: RETURN FOR TDS UNDER GST; APPLICABLE TO: GOVERNMENT AUTHORITIES",,,"01-04-2025","31-03-2026","10-03-2026","2025","2500016","India","regulatory"
